1.601405741	380	0.01903225806	11.443776
1.332366019	360	0.02027704485	10.846197
1.071583616	340	0.02184931507	10.248902
0.7884573604	320	0.02409090909	9.6519428
0.4824261492	300	0.02734567901	9.0553851
0.1655144385	280	0.03194915254	8.4593144
-0.1743533871	260	0.03880952381	7.8638413
-0.5276327421	240	0.04889830508	7.2691127
-0.8675005677	220	0.06261904762	6.6753277
-1.272965676	200	0.08642857143	6.0827625
-1.609437912	180	0.115	5.4918121
-2.040220829	160	0.1688461538	4.9030603
-2.525728644	140	0.265	4.3174066
-2.813410717	120	0.3483333333	3.7363083
-3.506557897	100	0.6816666667	3.1622777
